ANSWER,QUESTION.question,QUESTION.paragraph
Bark depression at the root collar indicates root collar rot.,Which symptoms indicate bark depression and root collar rot?,"Symptoms:
➢ Bark depression at the root collar"
High temperature and drought areas should be avoided.,What should be avoided during nursery preparation?,"Management:

High temperature and drought areas for nursery preparation should be avoided"
Bordeaux paste.,What is the recommended treatment for preventing the entry of root fungi?,The wound needs to be treated with Bordeaux paste for preventing the entry of rot fungi
Thiophanate methyl and Dithane M-45.,What is used for soil drenching to control pathogens?,"Since many rot causing pathogens are soil borne, it is suggested to do soil drenching with Thiophanate methyl (0.5 ml/litre) and Dithane M-45 (2g/litre) for 10 × 1 metre bed"
Pre- and post-emergence mortality.,What type of mortality occurs in nurseries before and after emergence?,Pre- and post-emergence mortality in nurseries
"Dark brown necrotic spots in the leaf margin, base of the petiole or leaf tips.",What are the symptoms of infected foliage in leaf spot and blight?,"Infected foliage produces dark brown necrotic spots usually in the leaf margin, base of the petiole or in the leaf tips"
Infected and dead saplings must be disposed safely.,What should be avoided to prevent disease in nurseries?,Infected and dead saplings must be disposed safely as the pathogen is soil-borne and can sustain in soils for longer duration
Avoid excess urea application.,What management practice helps with sapling irrigation in nurseries?,Avoid excess urea application
Prevent wounds and injuries to protect plants from disease.,What should be done to saplings injured by fire or biotic interference?,Preventing wounds or injuries caused by fire or other biotic interference can protect plants from disease
Propiconazole 25% EC.,What chemical can be used for spraying at 1 ml/litre in nurseries?,Spray Propiconazole 25% EC 1 ml/litre in severely infected nurseries
High temperature and drought areas can exacerbate disease conditions in nurseries.,Why should high temperature and drought areas be avoided in nursery preparation?,High temperature and drought areas for nursery preparation should be avoided
Saplings should be arranged in rows with proper spacing.,How should saplings be arranged in nurseries for proper spacing?,Arrange saplings in rows with proper spacing in the nurseries
Larger necrotic areas spread over the entire leaf lamina.,What effect does leaf spot have on leaf lamina?,Later spots will fuse to form larger necrotic areas and spread entire leaf lamina
Neem oil (2ml/litre).,What is used as protectant in nurseries to manage leaf spot and blight?,Spray neem oil (2ml/litre) as protectant
"Infected leaves show upward curling, become brittle, and finally wither.",What are the symptoms of leaf spot and blight in infected leaves?,Infected leaves show upward curling and may brittle and finally wither
"Proper ventilation, sanitation, and appropriate drainage.",What should the site selected for raising saplings be elevated with?,Site selected for raising saplings must be elevated with proper ventilation along with sanitation and appropriate drainage
Every 10-15 days.,How often should the severely infected nurseries be sprayed with mentioned chemicals?,Hexaconazole 5% EC (1.5 ml/litre) spray with 10-15 days interval can check the spread in severely affected nurseries
The spots will form larger necrotic areas and spread over the leaf lamina.,What might happen to infected foliage after the spots fuse together?,Later spots will fuse to form larger necrotic areas and spread entire leaf lamina
Infected leaves often show signs of upward curling and eventually become brittle and wither.,How should infected leaves with upward curling be managed?,Infected leaves show upward curling and may brittle and finally wither
Sprinkler irrigation should be avoided.,What measures are advised to avoid during irrigation at nurseries?,Avoid sprinkler irrigation
Mancozeb (2g/litre).,What chemical is advised for spraying in infected nurseries?,Spray mancozeb (2g/litre) in infected nursery
Teak powdery mildew,What disease does Uncinula tectonae cause in teak trees?,4.4.4 Teak powdery mildew (Uncinula tectonae)
Whitish,What is the appearance of the powdery patches caused by teak powdery mildew?,Symptoms: Small patches of whitish powdery masses on the upper surface of teak leaves with corresponding chlorotic lesions on the lower surface
Azoxystrobin 23% SC,Which fungicide is recommended for managing teak powdery mildew?,Management: Spray Azoxystrobin 23% SC @ 1 ml/litre
Teak,What plant is affected by the disease caused by Corticium salmonicolor?,4.4.5 Stem canker (Corticium salmonicolor/Fusarium solani)
Cobweb stage: a layer of vegetative mycelium,Describe the early symptom of stem canker under wet conditions.,Symptoms: Cobweb stage: a layer of vegetative mycelium (under wet conditions)
Pink encrustation stage,What stage shows pinkish fruiting structures in stem canker?,Symptoms: Pink encrustation stage: cankers will be covered in pinkish fruiting structures
Neem oil spray,What is an effective preventative treatment using natural oils for teak powdery mildew?,Management: Neem leaf extract/neem oil 2ml/litre spray during morning hours to inhibit the disease spread
Proper sanitation,What summer management practice is recommended for controlling teak powdery mildew?,Management: Proper sanitation around the trees before the rains
Orange spore structures,What are the characteristics of the 'nectar stage' of stem canker?,Symptoms: Nectar stage: orange spore structures develop
They turn brown to black,What happens to white powdery patches from teak powdery mildew at a later stage?,Symptoms: White powdery patches turn brown to black at later stage
Sunken areas and cankers,Which symptom of stem canker appears in the advanced stage on the main stem?,"Symptoms: Sunken areas on main stem and branch cankers, bark swelling and splitting symptoms also appear in later stage"
Die back of terminal shoot,What is the consequence of severe stem canker on terminal shoots?,"Symptoms: Die back of terminal shoot; in severe cases, the plants die too."
Chlorotic lesions,What are small patches of teak powdery mildew accompanied by on the lower leaf surface?,Symptoms: Small patches of whitish powdery masses on the upper surface of teak leaves with corresponding chlorotic lesions on the lower surface
1 ml/litre,Which fungicide dosage is recommended for treating teak powdery mildew?,Management: Spray Azoxystrobin 23% SC @ 1 ml/litre
Fusarium solani,What other names are used for stem canker affecting teak trees?,4.4.5 Stem canker (Corticium salmonicolor/Fusarium solani)
"Sanitation, sulphur dusting, neem oil spray, azoxystrobin",List the management strategies for controlling teak powdery mildew.,Management: Proper sanitation around the trees before the rains; Sulphur dusting is proven to be effective; Neem leaf extract/neem oil 2ml/litre spray during morning hours to inhibit the disease spread; Spray Azoxystrobin 23% SC @ 1 ml/litre
The 'cobweb stage' is characterized by a layer of vegetative mycelium under wet conditions.,Explain the 'cobweb stage' of stem canker under wet conditions.,Symptoms: Cobweb stage: a layer of vegetative mycelium (under wet conditions)
The 'nectar stage' is indicated by the development of orange spore structures.,What stage of stem canker is indicated by orange spore structures?,Symptoms: Nectar stage: orange spore structures develop
"Later stage symptoms include sunken areas on the main stem and branch cankers, with bark swelling and splitting.",Describe the later stage symptoms in stem and branch cankers due to stem canker.,"Symptoms: Sunken areas on main stem and branch cankers, bark swelling and splitting symptoms also appear in later stage"
"In severe cases, stem canker leads to the die back of the terminal shoot and can cause the plants to die.",What are the symptoms and consequences in severe cases of stem canker?,"Symptoms: Die back of terminal shoot; in severe cases, the plants die too."
10%,What percentage of Bordeaux mixture is recommended for managing teak diseases?,Application of contact fungicide Bordeaux mixture (10%) and systemic fungicide
Stem canker on teak plants,What are healthy teak trunks compared with?,Management: Healthy teak trunks Stem canker on teak plants
It appears solid and well-structured with no visible damage.,What does the cross section of healthy teak wood look like?,Healthy teak wood (cross section)
Copper oxychloride 50% WP,What is used to treat teak soil drench?,Soil drench with copper oxychloride 50% WP @ 20g in 10 liters water around the tree base.
Fungal and Bacterial,What type of pathogens can cause teak wilt?,4.4.6 Teak wilt (Fungal and Bacterial)
Tridermorph is mixed in water (5 ml/10 liters) for application.,How is fungicide tridermorph applied?,systemic fungicide tridermorph 75 EC @ 5 ml/10 liters of water
Brown discoloration,What kind of discoloration is shown in diseased teak wood?,Brown discoloration in teak wood
Contact fungicide Bordeaux mixture (10%) and systemic fungicide tridermorph 75 EC.,What are the components of the management plan for treating teak diseases?,Application of contact fungicide Bordeaux mixture (10%) and systemic fungicide tridermorph 75 EC @ 5 ml/10 liters of water
10 liters,What is the recommended water volume for applying fungicide tridermorph?,systemic fungicide tridermorph 75 EC @ 5 ml/10 liters of water
20 grams,How much copper oxychloride 50% WP is recommended per 10 liters of water?,Soil drench with copper oxychloride 50% WP @ 20g in 10 liters water around the tree base.
"Different conditions of teak: healthy trunks, stem canker, healthy wood, and brown discoloration.",What is illustrated by the various images of teak conditions?,"Images show healthy teak trunks, stem canker on teak plants, healthy teak wood (cross section), and brown discoloration in teak wood."
"It shows stems of teak plants affected by canker, indicating disease.",What does the image labeled 'Stem canker on teak plants' depict?,Stem canker on teak plants.
The teak wood shows spots and areas with brown discoloration.,What are the visual signs of teak wood affected by disease?,Brown discoloration in teak wood
Use of contact fungicides like Bordeaux mixture and systemic fungicides like tridermorph.,What are some common management practices for controlling teak disease?,Application of contact fungicide Bordeaux mixture (10%) and systemic fungicide tridermorph 75 EC @ 5 ml/10 liters of water
Treatment involves fungicides such as Bordeaux mixture and tridermorph.,"Upon diagnosing teak wilt, what type of treatments are recommended?",Application of contact fungicide Bordeaux mixture (10%) and systemic fungicide tridermorph 75 EC @ 5 ml/10 liters of water
"Application details are in the instructions, specifying 20g in 10 liters water around the base.",How often should soil drench with copper oxychloride 50% WP be applied?,Soil drench with copper oxychloride 50% WP @ 20g in 10 liters water around the tree base
Teak exhibits symptoms like brown discoloration and wilt as a result of fungal and bacterial infections.,What are visible effects of fungal and bacterial infections on teak?,"Teak wilt (Fungal and Bacterial), brown discoloration and other symptoms seen."
"Recommendation includes Bordeaux mixture (10%) and tridermorph (75 EC, 5 ml/10 liters water).","For effective teak disease management, what specific mixture and systemic solutions are recommended?",Application of contact fungicide Bordeaux mixture (10%) and systemic fungicide tridermorph 75 EC @ 5 ml/10 liters of water
The image illustrates brown spots and discoloration in teak wood as a symptom.,What does the 'Brown discoloration in teak wood' image depict as a symptom of teak diseases?,Image shows brown physical effects on the wood as caused by disease.
A combination of Bordeaux mixture (10%) and systemic fungicide tridermorph (75 EC at 5 ml/10 liters water).,Which combination of fungicides is suggested for application in managing teak diseases?,Application of contact fungicide Bordeaux mixture (10%) and systemic fungicide tridermorph 75 EC @ 5 ml/10 liters of water
"Leaf yellowing, premature leaf-fall, and eventual plant collapse are common symptoms.",What are common symptoms of wilting without leaf yellowing in plants?,"Symptoms:
- Leaf yellowing, premature leaf-fall, leaf abscission, whole plant wilting, plant collapse followed by death are common symptoms (wilting without leaf yellowing bacterial wilt)"
Brownish discoloration of vascular tissue spreading in both directions.,What can be observed when infected saplings are split?,"Symptoms:
- Upon splitting the stems of infected saplings show brownish discoloration of vascular tissue spreading in both directions"
Black darkening of heartwood and sapwood.,What can be seen in the cross sections of tree trunks affected by the disease?,"Symptoms:
- On the cross sections of tree trunk, black darkening of heartwood and sapwood can be clearly seen"
Disease-free planting material.,What material should be used to prevent plant diseases?,"Management:
- Use disease-free planting material"
Avoid wounding on roots.,What should be avoided to prevent pathogen entry in plants?,"Management:
- Avoid wounding on roots that facilitates pathogen entry"
Drench with Plantamycin 100 mg (a.i.)/copperoxychloride 50% WP @2g/litre.,What treatment should be applied to the soil at the site of infected plants?,"Management:
- The soil at the site of the infected plants should be drenched with Plantamycin 100 mg (a.i.)/copperoxychloride 50% WP @2g/litre"
"Trunks, branches, and aerial roots.",Where can Phanerogamic parasites be found on trees?,"Symptoms:
- Found on trunk, branches and aerial roots of trees"
Kerala Nilambur region.,Which region in Kerala faces a major issue with teak pest?,"Symptoms:
- Major teak pest of teak in Kerala Nilambur region with total failure of the plantation"
By lopping of the infested branches.,How can the Phanerogamic parasite be managed mechanically?,"Management:
- Mechanical removal of the parasite by lopping of the infested branches as practiced in Kerala"
Tree injection of selective herbicides.,What chemical method can be used to manage Phanerogamic parasite infestation?,"Management:
- Tree injection of selective herbicides"
Infected saplings' stems show brownish discoloration of vascular tissue spreading in both directions.,What are some symptoms shown by infected saplings when their stems are split?,"Symptoms:
- Upon splitting the stems of infected saplings show brownish discoloration of vascular tissue spreading in both directions"
Black darkening can be clearly observed in the cross sections of tree trunks affected.,What can be observed in the cross sections of tree trunks affected by heartwood and sapwood darkening?,"Symptoms:
- On the cross sections of tree trunk, black darkening of heartwood and sapwood can be clearly seen"
Avoiding wounding on roots helps prevent pathogen entry in plants.,What precautionary measure should be taken to prevent pathogen entry in plants?,"Management:
- Avoid wounding on roots that facilitates pathogen entry"
Drenching the soil with Plantamycin 100 mg (a.i.)/copperoxychloride 50% WP @2g/litre is recommended.,What treatment is recommended for the soil at the site of infected plants in agroforestry?,"Management:
- The soil at the site of the infected plants should be drenched with Plantamycin 100 mg (a.i.)/copperoxychloride 50% WP @2g/litre"
"Phanerogamic parasites can be found on the trunk, branches, and aerial roots of trees.",What symptoms are associated with Phanerogamic parasite on tree parts?,"Symptoms:
- Found on trunk, branches and aerial roots of trees"
The Kerala Nilambur region faces significant impact due to teak pest infestation.,Which plantation region in Kerala is significantly affected by teak pest infestation?,"Symptoms:
- Major teak pest of teak in Kerala Nilambur region with total failure of the plantation"
"Mechanical removal involves lopping of the infested branches, as practiced in Kerala.",What are the mechanical removal practices for managing Phanerogamic parasites?,"Management:
- Mechanical removal of the parasite by lopping of the infested branches as practiced in Kerala"
Phanerogamic parasite control can be achieved through tree injection of selective herbicides.,What chemical management practice can be applied to control Phanerogamic parasite on trees?,"Management:
- Tree injection of selective herbicides"
Infected saplings show brownish discoloration of vascular tissue spreading in both directions upon splitting their stems.,What are the visible effects on infected saplings upon splitting their stems?,"Symptoms:
- Upon splitting the stems of infected saplings show brownish discoloration of vascular tissue spreading in both directions"
The cross sections of tree trunks affected by heartwood and sapwood darkening clearly show black darkening.,What are the visible symptoms on the cross sections of tree trunks due to heartwood and sapwood darkening?,"Symptoms:
- On the cross sections of tree trunk, black darkening of heartwood and sapwood can be clearly seen"
deltoides,What is the species name of Poplar?,Populus deltoides also known as eastern cottonwood tree is a large and dioecious tree that grows up to 20-60 metres.
Plantae,Which kingdom does Populus deltoides belong to?,Kingdom: Plantae
Salicaceae,What is the family name of Populus deltoides?,Family: Salicaceae
Vaishali District of Bihar,Which region in India benefitted from poplar agroforestry?,ICFRE emphasized poplar cultivation and it has extended poplar through agroforestry to Vaishali District of Bihar;
natural forests,What plants can poplar trees substitute to reduce environmental pressure?,"Poplar cultivation certainly reduced the pressure on natural forests for wood with all its ecological and environmental benefits, besides generating employment opportunities."
Rosids,What clade does Populus deltoides belong to?,Clade: Rosids
Malpighiales,What is the order of Populus deltoides?,Order: Malpighiales
Populus,Which genus does Populus deltoides belong to?,Genus: Populus
20-60 metres,What are the lengths Populus deltoides can grow to?,Populus deltoides also known as eastern cottonwood tree is a large and dioecious tree that grows up to 20-60 metres.
Northern America,What part of the World is Poplar native to?,"Poplar is native to Northern America and distributed throughout the central, eastern, and western United States also present in Canada and Mexico."
"Manufacturing plywood, match sticks, and paper.",What are the primary uses for wood from poplar trees?,"Wood produced from poplar trees can be used for manufacturing quality plywood, match sticks and paper."
"250,000 Indian rupees per hectare per year",What is the estimated annual return from Populus deltoides cultivation in Vaishali District?,"Annual returns from Populus deltoides cultivation have been estimated to be 250,000 Indian rupees per hectare per year."
Poplar cultivation benefits growers by providing high net returns.,How does Poplar cultivation benefit growers?,Poplars are the most preferred tree species due to its wood quality and its cultivation largely benefit the growers with high net returns.
Poplar cultivation generates employment opportunities.,What social benefit does Poplar cultivation generate?,"Poplar cultivation certainly reduced the pressure on natural forests for wood with all its ecological and environmental benefits, besides generating employment opportunities."
Indian Council of Forestry Research and Education (ICFRE),What authority emphasized poplar cultivation in India?,Indian Council of Forestry Research and Education (ICFRE) emphasized poplar cultivation and it has extended poplar through agroforestry to Vaishali District of Bihar;
"Populus deltoides cultivation results in estimated annual returns of 250,000 Indian rupees per hectare per year in Bihar.",What is the economic benefit of Populus deltoides in Bihar?,"Annual returns from Populus deltoides cultivation have been estimated to be 250,000 Indian rupees per hectare per year."
Populus deltoides,Which tree species is most popular for wood quality in India?,Poplars are the most popular exotic species among other 13 poplar species present in India.
"Poplar is present in the United States, Canada, and Mexico.",What distributors are present for poplar in North America?,"Poplar is native to Northern America and distributed throughout the central, eastern, and western United States also present in Canada and Mexico."
Poplar cultivation reduces pressure on natural forests.,What environmental benefit is associated with Poplar cultivation?,"Wood produced from poplar trees can be used for manufacturing quality plywood, match sticks and paper."
"Kingdom: Plantae, Clade: Rosids, Order: Malpighiales, Family: Salicaceae, Genus: Populus, Species: deltoides",List the plant systematics details for Populus deltoides.,"Kingdom: Plantae, Clade: Rosids, Order: Malpighiales, Family: Salicaceae, Genus: Populus, Species: deltoides"
"Leaf spots, root rot, bark necrosis, and cankers are major fungal diseases affecting poplar hybrids.",What are the major fungal diseases affecting poplar hybrids?,"Intensive cultivation of poplar hybrids in the modern times made to succumb the poplar to various pest and diseases. Among all, fungal diseases are of major concern in poplar cultivation."
Rosellinia,Which genus is responsible for root rot in poplars?,"Diseases like leaf spots, root rot caused by Rosellinia necatrix Armillaria spp. and Botryodiplodia spp.; bark necrosis caused by D. .."
"Populus ciliata, P. alba",Name any two species of poplar indigenous to India.,"However, there are six species of poplars, viz., Populus ciliata, P. alba, P. euphratica, P. gamblii, P. jacquemontii var. glauca and P. rothundifolia are believed to be indigenous to India."
Bacterial canker,What is a major bacterial disease found in poplar?,"Bacterial canker caused by Pseudomonas syringae pv. syringae, Hypoxylon pruinatum, is the most common bacterial disease in poplar in India."
Rusts,What issues are caused by Melampsora species in poplar?,"Bacterial canker caused by Pseudomonas tremafaciens and Xanthomonas populi, and rusts caused by Melampsora species are other important, but lesser-known diseases on poplar in India."
"Leaf spots, Irregular brown spots",List two symptoms of fungal leaf spots in poplars.,Leaf spots and blights at nursery level Dark brown to light-brown irregular spots with or without grey centered yellow halo on the leaves
Septoria leaf spot,Identify one photo showing a symptom of poplar disease.,Septoria leaf spot (Source: W.R. Jacobi)
P. jacquemontii,Which poplar species has a variety called 'glauca'?,"Populus ciliata, P. alba, P. euphratica, P. gamblii, P. jacquemontii var. glauca and P. rothundifolia are believed to be indigenous to India."
Discosporium populeum,What causes bark necrosis in poplars?,Bark necrosis caused by Discosporium populeum and Botryodiplodia spp..
"Leaf spots, root rot, bark necrosis, cankers",What are the fungal diseases concerning poplar in India?,"Among all, fungal diseases are of major concern in poplar cultivation. Diseases like leaf spots, root rot caused by Rosellinia necatrix Armillaria spp. and Botryodiplodia spp. bark necrosis caused by Discosporium populeum and cankers incited by Cytospora spp."
"Myrothecium roridum, Marssonina spp., Cercospora populina",Name three pathogens causing leaf spots on poplars.,"Leaf spots caused by Myrothecium roridum, Marssonina spp., Cercospora populina, Phlosotirosis spp., Drechslera maydis, Alternaria spp. and Phyllosticta spp."
Leaf spots,Which diseases are critical for major pathologies in cottonwood?,"Major pathological problems in cottonwood 5.4.1 Leaf spots caused by Myrothecium roridum, Marssonina spp., Cercospora populina, Phaeoisariopsis sp., Drechslera maydis, Alternaria spp. and Phyllosticta spp."
"Larger necrotic areas with a blighted appearance, extending to other parts.",Describe the symptom involving necrotic areas in poplar leaves.,"The spots coalesce to form larger necrotic areas and give a blighted appearance. The spots may further get extended to the leaf petioles, stem, and floral parts."
Dark brown irregular spots,Which spots might develop yellow halo around them?,Dark brown to light-brown irregular spots with or without grey centered yellow halo on the leaves
5.4.1 Leaf spots,Which section covers diseases like leaf spots in poplar?,"5.4.1 Leaf spots caused by Myrothecium roridum, Marssonina spp., Cercospora populina, Phaeoisariopsis sp., Drechslera maydis, Alternaria spp. and Phyllosticta spp."
Various parts of the country,What regions introduced hybrid poplars to the Indian subcontinent?,"Species like back poplar got to the Indian sub-continent and so far, 13 of its species have been introduced in various parts of the country."
Leaf spots and blights at nursery level,What are the general symptoms seen at nursery level for leaf spots?,Leaf spots and blights at nursery level Dark brown to light brown irregular spots with or without grey-centered yellow halo on the leaves
Rusts caused by Melampsora species,"Which less-known illness affects poplars in India, other than canker?","Bacterial canker caused by Pseudomonas tremafaciens and Xanthomonas populi, and rusts caused by Melampsora species are other important but lesser-known diseases on poplar in India."
"Leaf spots, root rot",Identify two common diseases impacting poplar elongation stages.,"Intensive cultivation of poplar hybrids in the modern times made to succumb the poplar to various pest and diseases. Among all, fungal diseases are of major concern in poplar cultivation."
Myrothecium,Which fungal genus leads to leaf spots in cottonwood?,"5.4.1 Leaf spots caused by Myrothecium roridum, Marssonina spp., Cercospora populina, Phaeoisariopsis sp., Drechslera maydis, Alternaria spp. and Phyllosticta spp."
19%,What percentage of celebrities do not use both Facebook and MySpace regularly?,19% of celebrities do not use both Facebook and MySpace regularly.
15%,What is the percentage of celebrities who do not use Facebook?,Fifteen percent of celebrities do not use Facebook.
81%,"According to the survey, what percentage of celebrities use either Facebook or MySpace regularly?",We asked celebrities if they use Facebook and/or MySpace. 81% use either Facebook or MySpace regularly.
Over 50%,What does the survey reveal about celebrities' daily use of Facebook and MySpace?,Over 50% of celebrities say they log in to these sites at least once each day
Fewer,Are there more or fewer celebrities who do not use Facebook compared to those who do not use MySpace?,"Fifteen percent of celebrities do not use Facebook, while 31% do not use MySpace."
Varies,What is the relationship between Facebook and MySpace usage among celebrities according to the survey?,"Usage of Facebook and MySpace among celebrities varies, with overlaps and distinct user bases."
Monitor trends,What reason is given for continuing to monitor the trends in Facebook and MySpace usage among celebrities?,We will continue to monitor how Facebook and MySpace usage trends among celebrities.
Significant daily time investment,What inference can be made about the daily time investment of celebrities on Facebook and MySpace?,"Over 50% of celebrities log in to these sites at least once each day, indicating a significant daily time investment."
Continue monitoring usage trends,What suggestion is made about future observations related to the usage trends of Facebook and MySpace among celebrities?,It is suggested to continue monitoring the usage trends of Facebook and MySpace among celebrities.
23 or older,What age group represents more than half of MySpace users?,"59% of MySpace users are aged 23 or older, representing the majority."
Highly active on social media,What can be inferred from the data on the usage rates of Facebook and MySpace among celebrities?,The data suggests that a sizable portion of the celebrity population is highly active on social media platforms.
"Some use both, some prefer one",What do the statistics reveal about the exclusivity of Facebook and MySpace utilization among celebrities?,"Statistics show that some celebrities use both platforms while others prefer one over the other, with 81% using at least one."
Frequent engagement,What trend does the survey capture regarding the frequency of social media logins among celebrities?,"The survey captures that over half of celebrities log in to Facebook and MySpace daily, signifying frequent engagement."
Most users are 23 or older,What seems to be a significant characteristic of MySpace's user demographics?,A significant characteristic of MySpace's user demographics is that 59% of its users are aged 23 or older.
Aged 23 or older,How is the majority age demographic for MySpace users described in the survey?,The survey describes the majority age demographic for MySpace users as 23 or older.
Usage patterns of Facebook and MySpace,What is the focus of the survey regarding celebrities' use of social media?,The survey focuses on analyzing the usage patterns of Facebook and MySpace among celebrities.
23 or older,What age range does the survey data indicate constitutes more than half of MySpace users?,"According to the survey data, more than half of MySpace users are aged 23 or older."
Over 50%,What percentage of celebrities log in to Facebook or MySpace at least once a day?,Over 50% of celebrities say they log in to these sites at least once each day.
At least once a day,How often do over half of celebrities log in to Facebook and MySpace sites?,"Over 50% of celebrities say they log in to these sites at least once each day, showing frequent usage."
Continue monitoring potential shifts,What is suggested about the potential future trends in the usage of Facebook and MySpace among celebrities?,It is suggested to continue monitoring the trends to understand any potential shifts in celebrities' social media usage.
Initial sanitation practices,What is one crucial practice before nursery establishment?,Initial sanitation practices before nursery establishment are crucial
Disease-free,How should planting material be before use?,Planting material must be disease-free
Properly sun-dried,What should the potting medium be?,Potting medium should be properly sun-dried
Stop sprinkler irrigation,What action should be taken if infection is noticed?,"If infection is noticed, stop sprinkler irrigation"
Poplar tree,What type of tree is depicted as healthy in the image?,Healthy poplar tree
Neem oil,What is applied at 2ml/litre as a preventive measure?,"As a preventive measure, neem oil could be sprayed at 2ml/litre"
Irrigation and drainage,What should be adequate at the nursery site?,Adequate irrigation and drainage at nursery site
Spraying Thiophanate methyl @0.5g/litre at 10-day intervals twice,What method is suggested for managing severe cases of disease?,"In severe cases, spray Thiophanate methyl @0.5g/litre at 10days interval twice"
Reduction of leaf chlorophyll and overall photosynthetic ability,What result do all these management practices aim to reduce?,All these result in the reduction of leaf chlorophyll and affect the overall photosynthetic ability of the plants
Root rot or butt rot,What disease is affecting the depicted tree with rot?,"Root rot or butt rot (Rosellinia necatrix, Armillaria)"
Reduction of leaf chlorophyll,What impacts the overall photosynthetic ability of the plants?,All these result in the reduction of leaf chlorophyll and affect the overall photosynthetic ability of the plants
Armillaria rot,What image description shows a decomposing tree structure?,Armillaria rot
Leaf scorching,What is one of the main visible signs of leaf trouble mentioned?,Leaf scorching
Root rot or butt rot,What paragraph mentions a fungal infection?,"Root rot or butt rot (Rosellinia necatrix, Armillaria)"
Thiophanate methyl,Which fungicide is recommended for severe plant diseases?,"In severe cases, spray Thiophanate methyl @0.5g/litre at 10days interval twice"
"The tree shows a significant decomposed area in the center, indicating internal decay.",Describe the state of the tree in the image associated with 'Heart rot'.,Heart rot
Initial sanitation practices are crucial for preventing disease and promoting healthy plant growth.,Why is it crucial to maintain initial sanitation practices before nursery establishment?,Initial sanitation practices before nursery establishment are crucial
"Leaf scorching is indicative of stress or disease affecting the leaves, showing browning and damage.",What is the visual symptom described as 'Leaf scorching' indicative of?,Leaf scorching
"Reduction in leaf chlorophyll lowers the plant's photosynthetic ability, affecting overall plant health and productivity.",What are the possible impacts of leaf chlorophyll reduction on plants?,All these result in the reduction of leaf chlorophyll and affect the overall photosynthetic ability of the plants
The potting medium should be properly sun-dried to eliminate potential pathogens and ensure healthy plant development.,What should be properly sun-dried to prevent plant diseases?,Potting medium should be properly sun-dried
Bark discoloration at the crown region,What is a symptom of bark scaling?,"Symptoms: Bark scaling, bark discoloration at the crown region"
White mycelium under bark,What is the cause of the white mycelium under bark in trees?,Symptoms: Presence of strands of white mycelium under bark and around tree as long strands
"Injuries to the tree base, roots, or stem",What should be avoided to prevent tree diseases?,Management: Avoid injuries to the tree base/roots/stem
Necrotic sunken spots,What is a necrotic symptom found on stems?,Symptoms: Necrotic sunken spots on stem
Presence of fruiting bodies,What symptom indicates honey-colored mushrooms on the base of a tree?,Symptoms: Presence of fruiting bodies or honey coloured mushroom like structures at the base of the tree
By managing insect pests in the vicinity,How should tree vigour be maintained?,Management: Maintain tree vigour by managing insect pests in the vicinity
Trichoderma harzianum with farmyard manure (FYM),What is used for soil application to manage tree diseases?,Management: Soil application of Trichoderma harzianum 2.5 kg/ha with 50 kg well-decomposed farmyard manure (FYM)
Necrotic sunken lesions,What kind of lesions do cankers form on stems?,Symptoms: Necrotic sunken lesions on stem
Early removal and disposal,What should be done with dead trees to manage diseases?,Management: Early removal and disposal of dead trees
The inner bark darkens,What happens to the inner bark in case of bacterial canker?,Symptoms: Darkened inner bark
Black water-soaked sunken lesions on the stem,What are the symptoms of bacterial canker?,Symptoms: Black water-soaked sunken lesions in case of bacterial canker
Leaf scorching and branch drying in big branches,What happens when there is branch drying initiation?,"Symptoms: Leaf scorching, branch drying initiation in single big branches"
Rotting of heart wood at centre,What are the early indications of rotting heartwood?,Symptoms: Rotting of heart wood at the centre of timber cross section
Bacterial canker,What type of canker is associated with the pathogen Xanthomonas populi?,"5.4.3 Canker (Cytospora spp., Hypoxylon spp., Fusarium spp., Nectria spp.) Bacterial canker (Xanthomonas populi)"
"Insect pests should be controlled to maintain tree health, which helps in maintaining tree vigour.",How should insect pests in the vicinity be managed to maintain tree vigour?,Management: Maintain tree vigour by managing insect pests in the vicinity
Fungal fruiting bodies appear as honey-colored mushroom-like structures at the base of the tree.,What indicates the presence of fungal fruiting bodies in trees?,Symptoms: Presence of fruiting bodies or honey coloured mushroom like structures at the base of the tree
"Cytospora spp., Hypoxylon spp., Fusarium spp., Nectria spp.",Which fungi are associated with canker diseases?,"5.4.3 Canker (Cytospora spp., Hypoxylon spp., Fusarium spp., Nectria spp.)"
Soil application of Trichoderma harzianum 2.5 kg/ha with 50 kg of well-decomposed farmyard manure helps in managing tree disease.,What soil application helps in managing tree disease?,Management: Soil application of Trichoderma harzianum 2.5 kg/ha with 50 kg well-decomposed farmyard manure (FYM)
Infected trees should be removed and disposed of early to manage diseases effectively.,What should be done to infected trees to manage diseases effectively?,Management: Early removal and disposal of dead trees
The stem shows necrotic sunken spots in case of bacterial canker.,What part of the tree shows necrotic symptoms in bacterial canker?,Symptoms: Necrotic sunken spots on stem
Use of canker-resistant clones.,What is one method to manage plant diseases in agroforestry?,Use of canker-resistant clones
With a sterile knife dipped in 70% alcohol.,How should the infected portion be removed?,Removal of the infected portion with sterile knife dipped in 70% alcohol
10%.,What concentration of Bordeaux paste is recommended for application?,Application of Bordeaux paste (10%) on the cut surface and wounds
Injuries to the tree stem.,What should be avoided to help manage plant diseases?,Avoid injuries to the tree stem
70% alcohol.,What is used to disinfect the infected portion before removal?,Removal of the infected portion with sterile knife dipped in 70% alcohol
