ANSWER,QUESTION.question,QUESTION.paragraph
Puddling helps in creating a uniform consistency in the field soil for proper planting conditions.,What is the significance of the puddling operation?,Puddling operation may be done twice using wheel mounted tractor drawn puddler.
The field's water should be drained out.,What needs to be done to the fields before transplanting starts?,Water should be drained out of the field at the time of transplanting.
"Applying consistent doses of fertilizers like P₂O₅, K₂O, and ZnSO₄ improves nutrient uniformity.",What practices improve the uniformity of basal nutrient application?,"A uniform basal dose of 40 kg P₂O₅ haˉ¹ through single superphosphate, 30 kg K₂O haˉ¹ through muriate of potash and 15 kg haˉ¹ of zinc sulphate (ZnSO₄) is applied."
Fertilizers should be applied and mixed well with soil.,What should be done during the second puddling?,A uniform basal dose of 40 kg P₂O₅ haˉ¹...is applied during second puddling and mixed well with soil.
To ensure consistent water distribution and proper growth conditions for the crops.,Why is it important for the field to have a uniform water level?,Fig. 4.5: A laser levelled field with uniform water level
20-25%,What percentage of irrigation water is lost during its application?,"Generally, the farmers’ fields are poorly levelled, which leads to poor irrigation water distribution efficiency and about 20-25% of irrigation water is lost during its application."
Organic carbon content,What is rapidly decreasing with intensive cropping systems?,"With intensive cropping system, organic carbon content of the soil is rapidly decreasing resulting in overall deterioration of physical, chemical and biological properties of soil."
Flood irrigation,What irrigation method results in low water use efficiency?,Such flood irrigation results in low water use efficiency and depletion of soil nutrients.
80%,What percentage of available water in India is used for irrigation purposes?,It has been estimated that 80% of available water in India is being used for irrigation purposes.
Surface irrigation,Which method of irrigation allows less than half of the water to be utilized by the plant?,"Generally under surface irrigation methods, only less than one half of the water released is utilized by the plant."
"It results in the overall deterioration of physical, chemical, and biological properties of soil due to the rapid decrease in organic carbon content.",What does intensive cropping system result in?,"With intensive cropping system, organic carbon content of the soil is rapidly decreasing resulting in overall deterioration of physical, chemical and biological properties of soil."
Traditional paddy cultivation leads to low crop productivity because keeping the crop flooded with water for major crop period uses a large amount of irrigation water inefficiently.,Why do traditional paddy cultivation methods lead to low crop productivity?,Traditional paddy cultivation of keeping the crop flooded with water for major crop period leads to low crop productivity /unit of irrigation water.
"Deep standing water in paddy fields increases methane release, a greenhouse gas responsible for global warming.",What is the impact of deep standing water in paddy fields on greenhouse gas emissions?,"Deep standing water in paddy field does not allow access of oxygen to roots, and more over results in increased methane release, a green house gas responsible for global warming."
The efficiency of surface irrigation methods is low.,What happens to the efficiency of surface irrigation methods?,"Accordingly, the efficiency of surface irrigation methods is low."
Poor leveling of farmers’ fields leads to poor irrigation water distribution efficiency and the loss of 20-25% of irrigation water during its application.,What does poor leveling of farmers’ fields lead to?,"Generally, the farmers’ fields are poorly levelled, which leads to poor irrigation water distribution efficiency and about 20-25% of irrigation water is lost during its application."
Flood irrigation causes low water use efficiency and depletion of soil nutrients. Traditional paddy cultivation with flood irrigation leads to low crop productivity per unit of irrigation water.,What are the causes of low water use efficiency in flood irrigation?,Such flood irrigation results in low water use efficiency and depletion of soil nutrients. Traditional paddy cultivation of keeping the crop flooded with water for major crop period leads to low crop productivity /unit of irrigation water.
The efficiency of water utilization on farmers' fields is low due to heavy water losses during conveyance and application at the field level.,Why is the efficiency of water utilization on farmers' fields low?,However the efficiency of water utilization at farmers’ fields has been very low because of heavy water loses during conveyance and application at the field level.
The main methods of irrigation discussed are flood irrigation within check basins and border strips.,What are the main methods of irrigation discussed in the text?,Almost all the cereal and vegetable crops have been conventionally planted by farmers in narrow spaced rows on flat surfaces or broadcast and irrigated by flood irrigation within check basins and border strips.
The per capita availability of surface water in India has decreased from 2309 cubic meters in 1991 to 1902 cubic meters in 2011.,How has the per capita availability of surface water in India changed over the years?,The per capita availability of surface water which used to be 2309 cubic meter in 1991 has decreased to 1902 cubic meter in 2011 and as per an estimate
"The main concerns include the rapid decrease of organic carbon content in soil, low efficiency of water utilization, heavy water losses during conveyance and application, and the overuse of available water.",What are the main concerns related to the current irrigation practices in India?,"With intensive cropping system, organic carbon content of the soil is rapidly decreasing resulting in overall deterioration of physical, chemical and biological properties of soil. It has been estimated that 80% of available water in India is being used for irrigation purposes. However the efficiency of water utilization at farmers’ fields has been very low because of heavy water loses during conveyance and application at the field level."
Early morning or late evening.,What time of day is recommended for transplanting seedlings?,Transplanting should be done in early morning or late evening hours as early as possible after removing the seedlings from the seed bed preferably within 15 to 30 minutes of uprooting.
25cm x 25cm or 30cm x 30cm.,What is the ideal spacing for planting a single seedling?,Single seedling is planted in a square pattern at a spacing of 25cm x 25cm or 30cm x 30 cm.
Field size rope well demarcated at equal lengths.,What should the soil field be like for proper transplanting?,A field size rope well demarcated at equal lengths of 25cm / 30cm and held straight along field facilitates proper transplanting in line and at equal distance.
For gap filling where seedlings fail to establish.,Why are SRI-nursery seedlings kept along side of the channels at transplanting time?,Gap filling may be done wherever seedlings fail to establish. For this purpose some SRI-nursery seedlings are kept along side of the channels at the time of transplanting.
Seedlings with soil intact roots.,What type of seedlings should be used for gap filling?,"For gap filling, seedlings along with soil intact roots should be used."
Gap filling.,What helps to ensure a proper crop stand for higher yield?,Gap filling will help to ensure proper crop stand for higher yield.
A thin layer of water above surface or saturated condition.,What is necessary for the establishment of seedlings during irrigation?,Only a thin layer of water above surface or saturated condition is required for proper establishment of seedlings.
As per the requirement under SRI.,When should the field be irrigated after the initial establishment of seedlings?,"After that, crop is irrigated only as per the requirement under SRI to maintain proper moisture in the field."
The field is kept moist and not flooded.,What care should be taken during irrigation to maintain proper field moisture?,The care is taken that the field is kept moist and not flooded.
During morning or late evening hours.,When is it preferable to apply irrigation during moderate amounts?,Irrigation should be applied in moderate amount preferably during morning or late evening hours when it is not too hot.
To minimize trauma to tiny roots during transplanting.,What is the objective of transplanting in a square pattern with specific spacing?,The tiny roots of the seedling should be gently plugged in the soil for minimizing the trauma during transplanting. Single seedling is planted in a square pattern at a spacing of 25cm x 25cm or 30cm x 30 cm.
Within 15 to 30 minutes of uprooting.,How soon should seedlings be transplanted after removing from the seedbed?,Transplanting should be done in early morning or late evening hours as early as possible after removing the seedlings from the seed bed preferably within 15 to 30 minutes of uprooting.
A field size rope well demarcated at equal lengths.,What ensures proper transplanting in line and at equal distance in the field?,A field size rope well demarcated at equal lengths of 25cm / 30cm and held straight along field facilitates proper transplanting in line and at equal distance.
"A thin layer of water above surface or saturated condition initially, then as per SRI requirements.",What should be the condition of water for proper establishment of rice seedlings under SRI?,"Only a thin layer of water above surface or saturated condition is required for proper establishment of seedlings. After that, crop is irrigated only as per the requirement under SRI to maintain proper moisture in the field."
By using SRI-nursery seedlings along the channels and seedlings with soil intact roots.,How is gap filling achieved during the transplantation process in rice fields under SRI?,"Gap filling may be done wherever seedlings fail to establish. For this purpose some SRI-nursery seedlings are kept along side of the channels at the time of transplanting. For gap filling, seedlings along with soil intact roots should be used."
Early weeding,What is always important for a good return in crop management?,"Whatever the crop, early weeding is always important for a good return."
One and a half months after transplanting,How is hand weeding usually done in traditional rice cultivation?,"In rice, where traditional weeding methods are used, hand weeding is usually done one and a half months after transplanting."
Hand weeding one and a half months after transplanting,What is far too late for two important reasons?,Hand weeding is usually done one and a half months after transplanting. This is far too late for two important reasons.
Good aeration in the soil,What opportunity do farmers lose by delaying weeding?,Farmers also lose the opportunity to have good aeration in the soil for easy availability of oxygen to roots.
Aeration of soil by weeding,What is more important than the removal of weeds in rice cultivation?,Aeration of soil by weeding may be even more important in rice cultivation than the removal of weeds.
Involving lots of drudgery,What makes hand weeding laborious and cumbersome?,Hand weeding is laborious and cumbersome involving lots of drudgery.
Using simple mechanical push-weeders like wheel hand hoe or cona weeders,How can SRI reduce the drudgery involved in weeding?,"In SRI, with wider spacing simple mechanical push-weeders like wheel hand hoe or cona weeders can be used which require less labour to avoid drudgery."
Irrigation of SRI field and weed incorporation with soil churning,What do figures 4.8 and 4.9 in the text depict?,Fig. 4.8: A very thin layer of water is sufficient for irrigation of SRI field. Fig. 4.9: Weed incorporation and soil churning.
It provides easy availability of oxygen to roots.,How can good aeration in soil benefit the plants?,Farmers also lose the opportunity to have good aeration in the soil for easy availability of oxygen to roots.
SRI fields only need a very thin layer of water for irrigation.,What does figure 4.8 indicate about SRI irrigation?,Fig. 4.8: A very thin layer of water is sufficient for irrigation of SRI field.
Early weeding prevents weeds from replacing half the expected harvest and ensures good aeration for roots.,Why is early weeding crucial in crop management?,"Whatever the crop, early weeding is always important for a good return. In rice, where traditional weeding methods are used, hand weeding is usually done one and a half months after transplanting."
Simple mechanical push-weeders like wheel hand hoe or cona weeders,What tool can be used to reduce labor in SRI?,"In SRI, with wider spacing simple mechanical push-weeders like wheel hand hoe or cona weeders can be used which require less labour to avoid drudgery."
"It shows SRI fields need minimal water, which is efficient for irrigation.",What is the significance of a very thin layer of water in SRI irrigation?,Fig. 4.8: A very thin layer of water is sufficient for irrigation of SRI field.
Aeration of soil by weeding can be more effective in improving rice cultivation.,What can be a more effective improve rice cultivation: aeration or weed removal?,Aeration of soil by weeding may be even more important in rice cultivation than the removal of weeds.
It's recommended to use simple mechanical push-weeders like wheel hand hoe or cona weeders.,What are the recommendations for reducing drudgery in weeding under SRI?,"In SRI, with wider spacing simple mechanical push-weeders like wheel hand hoe or cona weeders can be used which require less labour to avoid drudgery."
Weeders churning up the soil helps in aeration.,What helps in the aeration of the soil during weeding?,"Moreover, these weeders churn up the soil helping in aeration..."
"Weeding at 15 and 30 days after transplanting improves physical, chemical, and microbial properties of the soil.",How does weeding benefit soil properties?,Two weeding at 15 and 30 days after transplanting...
Weeding is recommended at 15 and 30 days after transplanting.,When are two weedings recommended after transplanting for effective weed control?,Two weeding at 15 and 30 days after transplanting...
Seed saving is an advantage in SRI as the seed requirement is significantly less.,Why is seed saving considered an advantage in SRI?,"Saving on seed, as the seed requirement is significantly less."
SRI saves irrigation water because there is no need for ponding.,How does SRI save irrigation water?,Saving of irrigation water as there is no need of ponding of water.
SRI can withstand short gaps in water availability due to the unavailability of electric supply.,What is the impact of SRI on water availability?,Withstand short gap on water availability due to unavailability of electric supply.
SRI reduces the use of chemical fertilizers and pesticides due to lesser infection of diseases and pests.,How does SRI affect the use of chemical fertilizers and pesticides?,"Saving on chemical fertilizers, pesticides etc. due to lesser infection of diseases and pests."
SRI results in more healthy and quality rice because of the use of organic manures.,Why does SRI result in more healthy and quality rice?,More healthy and quality rice due to use of organic manures.
"Higher yield in SRI is due to profuse tillering, more effective tillers, and healthy grains.",What contributes to higher yield in SRI?,"Higher yield due to profuse tillering, more effective tillers and healthy grains (Fig. 4.10)."
A main constraint of SRI is the higher labor requirement for raising nursery in rows on a raised bed.,What is a main constraint of SRI?,Higher labour requirement for raising of nursery in rows on raised bed.
Incorporating weeds into the soil adds organic manure after decomposition.,What additional benefit does the incorporation of weeds provide?,"Moreover, these weeders churn up the soil helping in aeration as well as incorporating the weeds in soil adding as organic manure after decomposition."
Two weeding operations should be carried out at 15 and 30 days after transplanting.,How often should two weeding operations be carried out for effective SRI?,"Two weeding at 15 and 30 days after transplanting are sufficient for weed control in the SRI crop and for improvement of physical, chemical and microbial properties of the soil."
Figure 4.10 shows scientists inspecting a rice field under SRI.,What does Figure 4.10 depict?,(Fig. 4.10): Scientists inspecting Rice field under SRI
Irrigation water is conserved in SRI by eliminating the need for ponding.,What is one method used to conserve irrigation water in SRI?,Saving of irrigation water as there is no need of ponding of water.
The SRI method reduces the use of chemical inputs like fertilizers and pesticides due to fewer infections from diseases and pests.,How does the SRI method affect chemical input use?,"Saving on chemical fertilizers, pesticides etc. due to lesser infection of diseases and pests."
Careful uprooting.,What increases labour requirements during uprooting and planting of younger seedlings?,Careful uprooting of younger seedlings from nursery and planting on the field require more labour.
Levelled field condition.,What action is necessary to maintain a uniform thin water layer on soil?,Requires levelled field condition to maintain uniform thin layer of water on the soil surface.
Displacement.,What adverse event can occur to seedlings after heavy monsoon rains?,Displacement of seedlings in the event of heavy monsoon rains just after transplanting.
"The careful uprooting process demands careful handling and more time, thus requiring more labour.",Why does relocating seedling planting from nursery to field require more effort?,Careful uprooting of younger seedlings from nursery and planting on the field require more labour.
It refers to ensuring the field is even and flat to maintain a consistent water layer for seedling growth.,What does the term 'levelled field condition' imply in the text?,Requires levelled field condition to maintain uniform thin layer of water on the soil surface.
Seedlings can be displaced if heavy monsoon rains occur just after they have been transplanted.,What can happen to seedlings due to unexpected monsoon rains after transplanting?,Displacement of seedlings in the event of heavy monsoon rains just after transplanting.
A leveled field condition is necessary to ensure the even distribution and maintenance of a thin water layer.,What is needed for uniform water layer maintenance?,Requires levelled field condition to maintain uniform thin layer of water on the soil surface.
Careful uprooting ensures that the seedlings are not damaged during the process and can be successfully transplanted.,Why is careful uprooting required during seedling transplantation?,Careful uprooting of younger seedlings from nursery and planting on the field require more labour.
"Heavy monsoon rains can lead to the displacement of newly transplanted seedlings, which can hinder their growth and establishment.",What challenge is posed by heavy rains post-transplanting?,Displacement of seedlings in the event of heavy monsoon rains just after transplanting.
"Uprooting younger seedlings carefully requires detailed handling and precision, which increases the need for labour.",Why might more labour be required in relocating seedlings from a nursery?,Careful uprooting of younger seedlings from nursery and planting on the field require more labour.
A leveled field condition is required to achieve a uniform thin layer of water on the soil.,What specific field condition is required for a uniform water layer?,Requires levelled field condition to maintain uniform thin layer of water on the soil surface.
"Heavy rains can cause displacement of freshly transplanted seedlings, affecting their growth and stability.",What are the consequences of heavy rains on freshly transplanted seedlings?,Displacement of seedlings in the event of heavy monsoon rains just after transplanting.
The meticulous and careful uprooting of younger seedlings from the nursery increases the labour required during transplantation.,What manual process increases the labour required during seedling transplantation?,Careful uprooting of younger seedlings from nursery and planting on the field require more labour.
"The field should be leveled to maintain a uniform thin layer of water on the soil surface, which is crucial for seedling growth.",How should the field be prepared for maintaining a thin water layer?,Requires levelled field condition to maintain uniform thin layer of water on the soil surface.
Precautions should be taken to secure seedlings just after transplanting to prevent displacement during heavy monsoon rains.,What must be done to prevent seedling displacement during heavy monsoon rains?,Displacement of seedlings in the event of heavy monsoon rains just after transplanting.
120 cm,What is the average annual rainfall in India?,India's average annual rainfall is about 120 cm.
"sprinkler, drip, micro sprinkler",What methods of micro irrigation are mentioned in the text?,"Micro irrigation systems (sprinkler, drip and micro sprinkler) offer possibilities of achieving higher efficiencies of water use through controlled water distribution."
moisture content,What does drip irrigation maintain uniformly in the soil?,Drip irrigation thus maintains uniform moisture content in the soil throughout the cropping period.
Orchard crops,What type of crops is drip irrigation used for?,"Drip irrigation can be used for most crops, such as: Orchard crops Grapes, Banana, Pomegranate, Orange, Citrus, Tamarind, Mango, Fig, Lemon, Custard Apple, Sapota, Guava,"
more frequently,How is water applied in micro irrigation systems?,In micro irrigation systems water is applied more frequently which in turn reduces the moisture stress to the plants and thus enhances the crop growth.
"A good part of the applied water is lost in conveyance, application, runoff and evaporation.",Why is only less than half of the water released by surface irrigation methods utilized by plants?,"Generally under surface irrigation methods, only less than one half of the water released is utilized by the plant. A good part of the applied water is lost in conveyance, application, runoff and evaporation."
The main advantage of drip irrigation system is its high degree of control on water application.,What is the main advantage of drip irrigation systems?,The main advantage of drip irrigation system is its high degree of control on water application.
"India's average annual rainfall is around 120 cm, and due to its uneven spatial and temporal distribution, about one-third of the country is prone to drought.",What is India's average annual rainfall and its implication on irrigation?,India's average annual rainfall is about 120 cm. Due to the spatial and temporal distribution of rainfall one-third of the country is always under threat of drought.
Micro irrigation systems provide higher efficiencies of water use through controlled water distribution.,What benefits do micro irrigation systems offer?,"Micro irrigation systems (sprinkler, drip and micro sprinkler) offer possibilities of achieving higher efficiencies of water use through controlled water distribution."
"A well-designed drip system provides uniform, equal, and adequate water to all plants in the field, ensuring higher irrigation efficiency.",Describe how a well-designed drip system functions.,"Well designed drip system would provide uniform, equal and adequate water to all plants in the field at a higher level of irrigation efficiency."
Micro irrigation enhances crop growth by reducing moisture stress to the plants through more frequent water application.,How does micro irrigation enhance crop growth?,In micro irrigation systems water is applied more frequently which in turn reduces the moisture stress to the plants and thus enhances the crop growth.
A large number of irrigating points per unit area in drip irrigation result in better uniformity of water application.,What are the advantages of a large number of irrigating points per unit area in drip irrigation?,Drip irrigation provides a large number of irrigating points per unit area that result in better uniformity of water application.
Frequent water application reduces moisture stress to the plants and enhances crop growth.,Why do micro irrigation systems need frequent water application?,In micro irrigation systems water is applied more frequently which in turn reduces the moisture stress to the plants and thus enhances the crop growth.
One-third of the country is always under threat of drought.,What is the threat due to the spatial and temporal distribution of rainfall in India?,Due to the spatial and temporal distribution of rainfall one-third of the country is always under threat of drought.
Plants are irrigated at the root zone through emitters fitted on pipes.,"In drip irrigation, how are plants watered?","Drip irrigation is a method of water application for irrigating plants at the root zone through emitters fitted on a network of pipes (mains, sub-mains and laterals)."
Orchard crops are shown in Fig. 5.1.,Which crops are shown in Fig. 5.1?,Fig. 5.1: Orchard crop under drip irrigation
Sugarcane and Cotton.,Name two cash crops mentioned.,"Cash crops Sugarcane, Cotton. Arecanut, Strawberry etc."
Tomato and Chilly.,List any two vegetables shown in Fig. 5.2.,"Vegetables Tomato, Chilly, Capsicum, Cabbage, Cauliflower, Onion, Okra, Brinjal, Bitter gourd, Bottle gourd, Ridge gourd, Cucumber, Peas, Spinach, Pumpkin etc. (Fig. 5.2)"
Orchard crop.,What type of crop is papaya?,"Pineapple, Coconut, Cashew nut, Papaya, Aonla, Litchi, Watermelon, Muskmelon etc (Fig. 5.1)"
Pineapple and Coconut.,Identify two orchard crops shown in Fig. 5.1.,"Pineapple, Coconut, Cashew nut, Papaya, Aonla, Litchi, Watermelon, Muskmelon etc (Fig. 5.1)"
Cucumber.,What vegetable commonly used in salads is listed?,"Vegetables Tomato, Chilly, Capsicum, Cabbage, Cauliflower, Onion, Okra, Brinjal, Bitter gourd, Bottle gourd, Ridge gourd, Cucumber, Peas, Spinach, Pumpkin etc. (Fig. 5.2)"
"Cash crops are crops grown for direct sale in the market, rather than for family consumption or for feeding livestock. Examples include sugarcane and cotton.",Explain what is meant by cash crops.,"Cash crops Sugarcane, Cotton. Arecanut, Strawberry etc."
"The images show orchard crops such as papaya, pineapple, and vegetables like tomato and spinach under drip irrigation.",Describe the types of crops under drip irrigation as shown in the images.,"Fig. 5.1: Orchard crop under drip irrigation
Fig. 5.2: Vegetables under drip irrigation"
Orchard crops and Vegetables.,What are the two categories of crops shown under drip irrigation?,"Pineapple, Coconut, Cashew nut, Papaya, Aonla, Litchi, Watermelon, Muskmelon etc (Fig. 5.1)
Vegetables Tomato, Chilly, Capsicum, Cabbage, Cauliflower, Onion, Okra, Brinjal, Bitter gourd, Bottle gourd, Ridge gourd, Cucumber, Peas, Spinach, Pumpkin etc. (Fig. 5.2)"
"Bitter gourd, Bottle gourd, Ridge gourd.",Name three vegetables that are types of gourds.,"Vegetables Tomato, Chilly, Capsicum, Cabbage, Cauliflower, Onion, Okra, Brinjal, Bitter gourd, Bottle gourd, Ridge gourd, Cucumber, Peas, Spinach, Pumpkin etc. (Fig. 5.2)"
"The photographs show orchard crops, vegetables, and cash crops.",Which types of crops are depicted in the photographs?,"Fig. 5.1: Orchard crop under drip irrigation
Fig. 5.2: Vegetables under drip irrigation
Cash crops Sugarcane, Cotton. Arecanut, Strawberry etc."
"Orchard crops grown under drip irrigation include pineapple, coconut, cashew nut, papaya, aonla, litchi, watermelon, and muskmelon.",What orchard crops can be grown under drip irrigation?,"Pineapple, Coconut, Cashew nut, Papaya, Aonla, Litchi, Watermelon, Musk melon etc (Fig. 5.1)"
"Bitter gourd, Bottle gourd, Ridge gourd, Cucumber, Pumpkin.",Which vegetables under drip irrigation might belong to the Cucurbitaceae family?,"Vegetables Tomato, Chilly, Capsicum, Cabbage, Cauliflower, Onion, Okra, Brinjal, Bitter gourd, Bottle gourd, Ridge gourd, Cucumber, Peas, Spinach, Pumpkin etc. (Fig. 5.2)"
"Drip irrigation conserves water, reduces weed growth, minimizes nutrient loss, and provides consistent moisture, enhancing crop yield and quality for orchard crops and vegetables.",What are the benefits of drip irrigation for the crops shown?,"Fig. 5.1: Orchard crop under drip irrigation
Fig. 5.2: Vegetables under drip irrigation"
"Cash crops such as sugarcane are primarily used for sugar production, cotton for textiles, arecanut for chewing, and strawberries for fresh fruit consumption and processing.",Describe the types of cash crops mentioned and their primary uses.,"Cash crops Sugarcane, Cotton. Arecanut, Strawberry etc."
"Rose, Carnation, Gerbera, Anthurium, Orchids, Jasmine, Lily, Mogra, Tulip, Dahlia, Marigold",What are some examples of flowers listed in the text?,"Flowers Rose, Carnation, Gerbera, Anthurium, Orchids, Jasmine, Lily, Mogra, Tulip, Dahlia, Marigold etc."
"Tea, Rubber, Coffee, Coconut",List some plantation crops mentioned.,"Plantation Tea, Rubber, Coffee, Coconut etc."
"Teakwood, Bamboo",Which types of crops are categorized as forest crops?,"Forest crops Teakwood, Bamboo etc."
"Turmeric, Cloves, Mint",Identify some spices listed in the image.,"Spices Turmeric, Cloves, Mint etc."
"Flowers, Plantation, Spices, Oil seed, Forest crops",What are the categories of the text crops mentioned in the image?,"Flowers, Plantation, Spices, Oilseed, Forest crops"
"Sunflower, Oil palm, Groundnut",What types of oil seeds are mentioned?,"Oil seed Sunflower, Oil palm, Groundnut etc"
"Surface Drip Irrigation System, Subsurface Drip Irrigation System",What are the types of irrigation systems listed?,5.1.1 Types of drip irrigation systems
"In Surface Drip Irrigation System, drippers and lateral lines are laid on the soil surface, and water is applied near the root zone of plants.",Describe the setup of the Surface Drip Irrigation System.,"5.1.1.1 Surface Drip Irrigation System : In this system, the drippers and the lateral lines are laid on the soil surface. In this system, water is applied to the soil near the root zone of the plants."
It applies water slowly under pressure to maintain soil moisture for plant growth.,What is the primary function of the Surface Drip Irrigation System?,5.1.1.1 Surface Drip Irrigation System : The system applies water slowly under pressure to help maintain the soil moisture within the desired range of plant growth.
The volume of soil wetted by surface drip irrigation is much less than by surface irrigation methods.,Detail the volume of soil wetted by surface drip irrigation compared to surface irrigation methods.,5.1.1.1 Surface Drip Irrigation System : The volume of soil wetted by surface drip irrigation is much less than that wetted by surface irrigation methods.
"In Subsurface Drip Irrigation System, laterals and drippers are installed below the soil surface, and water is applied slowly through drippers.",Describe the Subsurface Drip Irrigation System.,"5.1.1.2 Subsurface Drip Irrigation System : In this system, the laterals and the drippers are installed below the soil surface and water is applied slowly through drippers."
"Bi-wall, Typhoon, T-tape, and cane wall system",Identify the most commonly used systems for subsurface drip irrigation.,"5.1.1.2 Subsurface Drip Irrigation System : The most commonly used systems are Bi-wall, Typhoon, T- tape, and cane wall system."
Subsurface drip irrigation systems are mostly used for irrigating row crops.,What is the preferred use of subsurface drip irrigation systems?,5.1.1.2 Subsurface Drip Irrigation System : These systems are mostly used for irrigating row crops.
Row crops,What crops can be irrigated with subsurface drip irrigation systems?,5.1.1.2 Subsurface Drip Irrigation System : These systems are mostly used for irrigating row crops.
The image Fig. 5.3 describes a Surface drip system.,What does the image describe about the Fig. 5.3?,The image describes Fig. 5.3 showing a Surface drip system.
Subsurface drip system,What is Fig. 5.4 illustrating?,Fig. 5.4: Subsurface drip system
Drip irrigation system,What type of drip system is shown in Fig. 5.5?,Fig. 5.5: Drip irrigation system
Head works,What is one component of the drip irrigation system?,"(i) Head works consisting of control unit, filters and fertilizer applicators,"
Control unit,What component controls the drip irrigation system?,"(i) Head works consisting of control unit, filters and fertilizer applicators,"
Subsurface drip system,What system is illustrated in Fig. 5.4?,Fig. 5.4: Subsurface drip system
Sensors,What does the automation unit in a drip irrigation system include?,(v) Automation unit and sensors.
"Crop need, farm size, water quality, chemical and fertilizer application",What factors influence the need for different components in a drip irrigation system?,"Depending upon the crop need, size of the farm, quality of available water, application of chemicals and fertilizers with irrigation water the need of many a component is decided"
"Water distribution pipes network consisting of main, sub main and laterals",What are the components of the drip irrigation system related to water distribution?,"(ii) Water distribution pipes network consisting of main, sub main and laterals,"
"Water emitting devices, flow regulating and flushing devices",What are the various devices included in a typical drip irrigation system?,"(iii) Water emitting devices, (iv) Flow regulating and flushing devices"
Components for drip irrigation system,What components are decided depending upon the size of the farm?,"Depending upon the crop need, size of the farm, quality of available water, application of chemicals and fertilizers with irrigation water the need of many a component is decided."
Fig. 5.5,Which image shows the drip irrigation system?,Fig. 5.5: Drip irrigation system
"Control unit, filters, and fertilizer applicators",What does the head works in a drip irrigation system consist of?,"Head works consisting of control unit, filters and fertilizer applicators,"
"Main, sub main, and lateral pipes",What elements are included in the water distribution part of a drip irrigation system?,"Water distribution pipes network consisting of main, sub main and laterals,"
Flow regulating and flushing devices,Which type of devices include flow regulating and flushing features?,Flow regulating and flushing devices
The automation unit regulates and monitors via sensors.,What is the role of the automation unit in a drip irrigation system?,Automation unit and sensors.
40-100%,What percentage of water can be saved using drip irrigation?,5.1.3 Advantage of drip irrigation
90-95%,What is the range of water use efficiency in drip irrigation?,5.1.3 Advantage of drip irrigation
Saline water,What type of water can be used in drip irrigation systems?,5.1.3 Advantage of drip irrigation
Increases salinity hazard in absence of leaching,How does drip irrigation affect soil salinity?,5.1.4 Limitations of Drip Irrigation
"High skill in design, installation, and operation",What type of skills are necessary for using drip irrigation systems?,5.1.4 Limitations of Drip Irrigation
Partial or total clogging of drippers/sprinkler nozzles,What are the main concerns related to clogging in micro irrigation systems?,5.1.5 Clogging and its Control in Micro Irrigation System
"Saline water can be used, frequent irrigation keeps the salt concentration within root zone soil below harmful levels.",Why is the saline water use in drip irrigation considered an advantage?,5.1.3 Advantage of drip irrigation
Weed infestation is very less or almost nil due to less wetting of soil.,How does drip irrigation assist in weed control?,5.1.3 Advantage of drip irrigation
Frequent watering eliminates moisture stress and yield can be increased up to 20-100%.,How does increased frequency of watering in drip irrigation systems benefit crop yield?,5.1.3 Advantage of drip irrigation
"Inadequate consideration of the physical, biological, and chemical characteristics of the water supply can cause clogging problems.",What problem can arise from inadequate consideration of water supply in drip systems?,5.1.5 Clogging and its Control in Micro Irrigation System
Labour is required only to start and stop the system.,What is the impact of drip irrigation on labour requirements?,5.1.3 Advantage of drip irrigation
Diseases and pest problems are relatively less because of less atmospheric humidity.,How does drip irrigation affect disease and pest problems in crops?,5.1.3 Advantage of drip irrigation
Sensitivity to clogging of system components is a limitation of drip irrigation systems.,What are some limitations of drip irrigation systems concerning maintenance?,5.1.4 Limitations of Drip Irrigation
"Water control in drip irrigation is very precise, high, and easy.",Why is water control considered a precision advantage in drip irrigation?,5.1.3 Advantage of drip irrigation
Use of fertilizer efficiency is very high due to reduced loss of nutrients through leaching and runoff water.,How does drip irrigation enhance fertilizer efficiency?,5.1.3 Advantage of drip irrigation
The section 5.1.6 discusses the solution to clogging problems.,What section discusses the solution to clogging problems?,5.1.6 Solution to clogging problems
Chlorinating or some other method of disinfecting is used to prevent the growth of bacterial slimes.,What method is used to prevent the growth of bacterial slimes?,5.1.6 Solution to clogging problems
"The functioning of emitting devices, discharge, wetting zone, leakages, placement of drippers, and filter debris should be checked.",What should be checked for the maintenance of a drip irrigation system?,5.1.7 Maintenance of drip irrigation system
"Fertigation is the application of water-soluble solid or liquid fertilizers through a drip irrigation system, illustrated by Figure 5.6.",What is fertigation and which figure illustrates it?,5.1.8 Fertigation
Centrifugal separators can remove sand from well water.,What type of filters can remove sand from well water?,5.1.6 Solution to clogging problems
"Suspended organic material and clay particles are separated with gravel filters, disk, and screen filters.",How are suspended organic material and clay particles separated for filtration?,5.1.6 Solution to clogging problems
"Regular maintenance, including checking emitting devices, discharge, leakages, and filter debris, is essential for the successful functioning of drip irrigation systems.",What is the process essential for the successful functioning of drip irrigation systems?,5.1.7 Maintenance of drip irrigation system
"Section 5.1.8 describes fertigation, which involves applying water-soluble solid or liquid fertilizers through drip irrigation systems.",What process is described in section 5.1.8 and what does it involve?,5.1.8 Fertigation
"Gravel filters, disk, and screen filters need to be cleaned periodically for adequate filtration.",What needs to be dissolved periodically for adequate filtration?,5.1.6 Solution to clogging problems
